note,book,page,figure,ticker,yahoo_symbol,date_range,confidence,download_status,tags,concepts,note_path,chart,csv
Trade Like a Stock Market Wizard - Figure 8-3 - APOL - page 161,Trade Like a Stock Market Wizard,161,8.3,APOL,APOL,1999-2004,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 8-3 - APOL - page 161.md,,
Trade Like a Stock Market Wizard - Figure 8-4 - LULU - page 163,Trade Like a Stock Market Wizard,163,8.4,LULU,LULU,2010-2011,caption-with-ticker,OK,vcp-or-tightening; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 8-4 - LULU - page 163.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-8-4-lulu-page-163_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-8-4-lulu-page-163_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 8-5 - NFLX - page 164,Trade Like a Stock Market Wizard,164,8.5,NFLX,NFLX,2009-2010,caption-with-ticker,OK,vcp-or-tightening; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 8-5 - NFLX - page 164.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-8-5-nflx-page-164_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-8-5-nflx-page-164_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 8-6 - RST - page 166,Trade Like a Stock Market Wizard,166,8.6,RST,RST,2009-2010,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 8-6 - RST - page 166.md,,
Trade Like a Stock Market Wizard - Figure 8-7 - DKS - page 167,Trade Like a Stock Market Wizard,167,8.7,DKS,DKS,2003-2003,caption-with-ticker,OK,vcp-or-tightening; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 8-7 - DKS - page 167.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-8-7-dks-page-167_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-8-7-dks-page-167_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 8-8 - WIRE - page 169,Trade Like a Stock Market Wizard,169,8.8,WIRE,WIRE,2003-2006,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 8-8 - WIRE - page 169.md,,
Trade Like a Stock Market Wizard - Figure 8-9 - manual-review - page 172,Trade Like a Stock Market Wizard,172,8.9,,,-,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 8-9 - manual-review - page 172.md,,
Trade Like a Stock Market Wizard - Figure 8-10 - manual-review - page 173,Trade Like a Stock Market Wizard,173,8.10,,,-,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 8-10 - manual-review - page 173.md,,
Trade Like a Stock Market Wizard - Figure 8-11 - MNST - page 174,Trade Like a Stock Market Wizard,174,8.11,MNST,MNST,2003-2006,caption-with-ticker,OK,vcp-or-tightening; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 8-11 - MNST - page 174.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-8-11-mnst-page-174_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-8-11-mnst-page-174_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 9-1 - PCYC - page 178,Trade Like a Stock Market Wizard,178,9.1,PCYC,PCYC,2009-2010,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 9-1 - PCYC - page 178.md,,
Trade Like a Stock Market Wizard - Figure 9-2 - manual-review - page 181,Trade Like a Stock Market Wizard,181,9.2,,,-,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 9-2 - manual-review - page 181.md,,
Trade Like a Stock Market Wizard - Figure 9-3 - AMZN - page 182,Trade Like a Stock Market Wizard,182,9.3,AMZN,AMZN,2001-2003,caption-with-ticker,OK,vcp-or-tightening; pivot-breakout; volume-dry-up,Pivot and Entry; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 9-3 - AMZN - page 182.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-9-3-amzn-page-182_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-9-3-amzn-page-182_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 9-4 - HUM - page 184,Trade Like a Stock Market Wizard,184,9.4,HUM,HUM,1978-1978,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 9-4 - HUM - page 184.md,,
Trade Like a Stock Market Wizard - Figure 9-5 - EMEX - page 185,Trade Like a Stock Market Wizard,185,9.5,EMEX,EMEX,2001-2001,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 9-5 - EMEX - page 185.md,,
Trade Like a Stock Market Wizard - Figure 9-6 - EMEX - page 186,Trade Like a Stock Market Wizard,186,9.6,EMEX,EMEX,2001-2001,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 9-6 - EMEX - page 186.md,,
Trade Like a Stock Market Wizard - Figure 9-7 - GRA - page 187,Trade Like a Stock Market Wizard,187,9.7,GRA,GRA,2004-2004,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 9-7 - GRA - page 187.md,,
Trade Like a Stock Market Wizard - Figure 9-8 - PNRA - page 189,Trade Like a Stock Market Wizard,189,9.8,PNRA,PNRA,2000-2002,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 9-8 - PNRA - page 189.md,,
Trade Like a Stock Market Wizard - Figure 9-9 - AMGN - page 190,Trade Like a Stock Market Wizard,190,9.9,AMGN,AMGN,1990-1990,caption-with-ticker,OK,volume-dry-up; relative-strength-before-price; stage-2-leadership,Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 9-9 - AMGN - page 190.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-9-9-amgn-page-190_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-9-9-amgn-page-190_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 9-10 - APCC - page 192,Trade Like a Stock Market Wizard,192,9.10,APCC,APCC,1990-1990,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 9-10 - APCC - page 192.md,,
Trade Like a Stock Market Wizard - Figure 9-11 - LL - page 194,Trade Like a Stock Market Wizard,194,9.11,LL,LL,2012-2012,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 9-11 - LL - page 194.md,,
Trade Like a Stock Market Wizard - Figure 9-12 - CMG - page 195,Trade Like a Stock Market Wizard,195,9.12,CMG,CMG,2010-2012,caption-with-ticker,OK,vcp-or-tightening; volume-dry-up; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 9-12 - CMG - page 195.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-9-12-cmg-page-195_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-9-12-cmg-page-195_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 9-13 - AAPL - page 196,Trade Like a Stock Market Wizard,196,9.13,AAPL,AAPL,2003-2004,caption-with-ticker,OK,pivot-breakout; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template,Book Stock Images/Trade Like a Stock Market Wizard - Figure 9-13 - AAPL - page 196.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-9-13-aapl-page-196_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-9-13-aapl-page-196_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 9-14 - WMT - page 197,Trade Like a Stock Market Wizard,197,9.14,WMT,WMT,1982-1982,caption-with-ticker,OK,vcp-or-tightening; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 9-14 - WMT - page 197.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-9-14-wmt-page-197_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-9-14-wmt-page-197_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-1 - AOL - page 208,Trade Like a Stock Market Wizard,208,10.1,AOL,AOL,1924-2005,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-1 - AOL - page 208.md,,
Trade Like a Stock Market Wizard - Figure 10-2 - manual-review - page 212,Trade Like a Stock Market Wizard,212,10.2,,,-,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-2 - manual-review - page 212.md,,
Trade Like a Stock Market Wizard - Figure 10-3 - FSII - page 214,Trade Like a Stock Market Wizard,214,10.3,FSII,FSII,1995-1995,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-3 - FSII - page 214.md,,
Trade Like a Stock Market Wizard - Figure 10-5 - GRA - page 215,Trade Like a Stock Market Wizard,215,10.5,GRA,GRA,2004-2004,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-5 - GRA - page 215.md,,
Trade Like a Stock Market Wizard - Figure 10-4 - manual-review - page 215,Trade Like a Stock Market Wizard,215,10.4,,,-,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-4 - manual-review - page 215.md,,
Trade Like a Stock Market Wizard - Figure 10-6 - manual-review - page 217,Trade Like a Stock Market Wizard,217,10.6,,,-,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-6 - manual-review - page 217.md,,
Trade Like a Stock Market Wizard - Figure 10-7 - USG - page 219,Trade Like a Stock Market Wizard,219,10.7,USG,USG,2006-2006,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-7 - USG - page 219.md,,
Trade Like a Stock Market Wizard - Figure 10-8 - manual-review - page 220,Trade Like a Stock Market Wizard,220,10.8,,,-,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-8 - manual-review - page 220.md,,
Trade Like a Stock Market Wizard - Figure 10-9 - TASR - page 222,Trade Like a Stock Market Wizard,222,10.9,TASR,TASR,-,caption-with-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-9 - TASR - page 222.md,,
Trade Like a Stock Market Wizard - Figure 10-10 - YHOO - page 223,Trade Like a Stock Market Wizard,223,10.10,YHOO,YHOO,-,caption-with-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-10 - YHOO - page 223.md,,
Trade Like a Stock Market Wizard - Figure 10-11 - MSFT - page 224,Trade Like a Stock Market Wizard,224,10.11,MSFT,MSFT,1989-1989,caption-with-ticker,OK,volume-dry-up; stage-2-leadership,Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-11 - MSFT - page 224.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-11-msft-page-224_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-11-msft-page-224_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-12 - MNST - page 224,Trade Like a Stock Market Wizard,224,10.12,MNST,MNST,2003-2003,caption-with-ticker,OK,stage-2-leadership,Relative Strength Leadership; Stage 2 Uptrend; Trend Template,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-12 - MNST - page 224.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-12-mnst-page-224_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-12-mnst-page-224_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-13 - MNKD - page 225,Trade Like a Stock Market Wizard,225,10.13,MNKD,MNKD,2009-2012,caption-with-ticker,OK,stage-2-leadership,Relative Strength Leadership; Stage 2 Uptrend; Trend Template,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-13 - MNKD - page 225.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-13-mnkd-page-225_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-13-mnkd-page-225_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-14 - TZOO - page 226,Trade Like a Stock Market Wizard,226,10.14,TZOO,TZOO,2011-2011,caption-with-ticker,OK,vcp-or-tightening; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-14 - TZOO - page 226.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-14-tzoo-page-226_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-14-tzoo-page-226_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-15 - MGA - page 227,Trade Like a Stock Market Wizard,227,10.15,MGA,MGA,2010-2010,caption-with-ticker,OK,vcp-or-tightening; pivot-breakout; volume-dry-up; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-15 - MGA - page 227.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-15-mga-page-227_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-15-mga-page-227_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-16 - TROY - page 228,Trade Like a Stock Market Wizard,228,10.16,TROY,TROY,2000-2000,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-16 - TROY - page 228.md,,
Trade Like a Stock Market Wizard - Figure 10-17 - DKS - page 229,Trade Like a Stock Market Wizard,229,10.17,DKS,DKS,2002-2003,caption-with-ticker,OK,vcp-or-tightening; shakeout; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Risk First; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-17 - DKS - page 229.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-17-dks-page-229_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-17-dks-page-229_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-18 - VIVO - page 230,Trade Like a Stock Market Wizard,230,10.18,VIVO,VIVO,2007-2007,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-18 - VIVO - page 230.md,,
Trade Like a Stock Market Wizard - Figure 10-19 - DECK - page 231,Trade Like a Stock Market Wizard,231,10.19,DECK,DECK,2006-2006,caption-with-ticker,OK,stage-2-leadership,Relative Strength Leadership; Stage 2 Uptrend; Trend Template,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-19 - DECK - page 231.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-19-deck-page-231_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-19-deck-page-231_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-20 - VIVO - page 233,Trade Like a Stock Market Wizard,233,10.20,VIVO,VIVO,2007-2007,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-20 - VIVO - page 233.md,,
Trade Like a Stock Market Wizard - Figure 10-21 - DKS - page 234,Trade Like a Stock Market Wizard,234,10.21,DKS,DKS,2003-2003,caption-with-ticker,OK,vcp-or-tightening; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-21 - DKS - page 234.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-21-dks-page-234_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-21-dks-page-234_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-22 - DECK - page 235,Trade Like a Stock Market Wizard,235,10.22,DECK,DECK,2006-2006,caption-with-ticker,OK,stage-2-leadership,Relative Strength Leadership; Stage 2 Uptrend; Trend Template,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-22 - DECK - page 235.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-22-deck-page-235_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-22-deck-page-235_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-23 - MGA - page 235,Trade Like a Stock Market Wizard,235,10.23,MGA,MGA,2006-2010,caption-with-ticker,OK,shakeout; stage-2-leadership,Relative Strength Leadership; Risk First; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-23 - MGA - page 235.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-23-mga-page-235_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-23-mga-page-235_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-24 - VCI - page 236,Trade Like a Stock Market Wizard,236,10.24,VCI,VCI,2010-2010,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-24 - VCI - page 236.md,,
Trade Like a Stock Market Wizard - Figure 10-25 - ELN - page 236,Trade Like a Stock Market Wizard,236,10.25,ELN,ELN,1991-2009,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-25 - ELN - page 236.md,,
Trade Like a Stock Market Wizard - Figure 10-26 - CRUS - page 237,Trade Like a Stock Market Wizard,237,10.26,CRUS,CRUS,2010-2010,caption-with-ticker,OK,vcp-or-tightening; pivot-breakout; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-26 - CRUS - page 237.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-26-crus-page-237_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-26-crus-page-237_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-27 - AMSC - page 238,Trade Like a Stock Market Wizard,238,10.27,AMSC,AMSC,2003-2003,caption-with-ticker,OK,vcp-or-tightening; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-27 - AMSC - page 238.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-27-amsc-page-238_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-27-amsc-page-238_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-28 - MELI - page 239,Trade Like a Stock Market Wizard,239,10.28,MELI,MELI,2007-2007,caption-with-ticker,OK,pivot-breakout; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-28 - MELI - page 239.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-28-meli-page-239_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-28-meli-page-239_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-29 - AMSC - page 240,Trade Like a Stock Market Wizard,240,10.29,AMSC,AMSC,2004-2004,caption-with-ticker,OK,vcp-or-tightening; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-29 - AMSC - page 240.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-29-amsc-page-240_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-29-amsc-page-240_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-30 - IPXL - page 240,Trade Like a Stock Market Wizard,240,10.30,IPXL,IPXL,2003-2004,caption-with-ticker,OK,vcp-or-tightening; pivot-breakout; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-30 - IPXL - page 240.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-30-ipxl-page-240_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-30-ipxl-page-240_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-31 - NFLX - page 241,Trade Like a Stock Market Wizard,241,10.31,NFLX,NFLX,2009-2009,caption-with-ticker,OK,vcp-or-tightening; pivot-breakout; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-31 - NFLX - page 241.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-31-nflx-page-241_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-31-nflx-page-241_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-32 - EDU - page 242,Trade Like a Stock Market Wizard,242,10.32,EDU,EDU,2007-2008,caption-with-ticker,OK,vcp-or-tightening; pivot-breakout; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-32 - EDU - page 242.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-32-edu-page-242_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-32-edu-page-242_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-33 - MELI - page 243,Trade Like a Stock Market Wizard,243,10.33,MELI,MELI,2007-2008,caption-with-ticker,OK,vcp-or-tightening; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-33 - MELI - page 243.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-33-meli-page-243_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-33-meli-page-243_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-34 - CRUS - page 243,Trade Like a Stock Market Wizard,243,10.34,CRUS,CRUS,2010-2010,caption-with-ticker,OK,vcp-or-tightening; pivot-breakout; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-34 - CRUS - page 243.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-34-crus-page-243_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-34-crus-page-243_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 10-35 - AFFY - page 246,Trade Like a Stock Market Wizard,246,10.35,AFFY,AFFY,2012-2012,caption-with-ticker,OK,pivot-breakout; volume-dry-up; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 10-35 - AFFY - page 246.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-10-35-affy-page-246_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-10-35-affy-page-246_ohlcv.csv
